CIP Code,Title
13.0402,Administration of Special Education.
13.0403,Adult and Continuing Education Administration.
13.1201,Adult and Continuing Education and Teaching.
13.1502,Adult Literacy Tutor/Instructor.
13.1301,Agricultural Teacher Education.
13.1302,Art Teacher Education.
13.0201,Bilingual and Multilingual Education.
13.0299,"Bilingual, Multilingual, and Multicultural Education, Other."
13.02,"Bilingual, Multilingual, and Multicultural Education."
13.1322,Biology Teacher Education.
13.1303,Business and Innovation/Entrepreneurship Teacher Education.
13.1323,Chemistry Teacher Education.
13.1102,College Student Counseling and Personnel Services.
13.1214,College/Postsecondary/University Teaching.
13.1339,Communication Arts and Literature Teacher Education.
13.0407,Community College Administration.
13.1321,Computer Teacher Education.
13.1101,Counselor Education/School Counseling and Guidance Services.
13.03,Curriculum and Instruction.
13.0301,Curriculum and Instruction.
13.1324,Drama and Dance Teacher Education.
13.1304,Driver and Safety Teacher Education.
13.1210,Early Childhood Education and Teaching.
13.0414,Early Childhood Program Administration.
13.1337,Earth Science Teacher Education.
13.0413,Education Entrepreneurship.
13.01,"Education, General."
13.0101,"Education, General."
13.99,"Education, Other."
13.9999,"Education, Other."
13,EDUCATION.
13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs.
13.1017,Education/Teaching of Individuals in Elementary Special Education Programs.
13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.
13.1019,Education/Teaching of Individuals in Secondary Special Education Programs.
13.1014,Education/Teaching of Individuals Who are Developmentally Delayed.
13.1013,Education/Teaching of Individuals with Autism.
13.1005,Education/Teaching of Individuals with Emotional Disturbances.
13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness.
13.1006,Education/Teaching of Individuals with Intellectual Disabilities.
13.1007,Education/Teaching of Individuals with Multiple Disabilities.
13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.
13.1011,Education/Teaching of Individuals with Specific Learning Disabilities.
13.1012,Education/Teaching of Individuals with Speech or Language Impairments.
13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries.
13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness.
13.1004,Education/Teaching of the Gifted and Talented.
13.0499,"Educational Administration and Supervision, Other."
13.04,Educational Administration and Supervision.
13.0699,"Educational Assessment, Evaluation, and Research, Other."
13.06,"Educational Assessment, Evaluation, and Research."
13.0604,"Educational Assessment, Testing, and Measurement."
13.0601,Educational Evaluation and Research.
13.0401,"Educational Leadership and Administration, General."
13.0603,Educational Statistics and Research Methods.
13.0404,"Educational, Instructional, and Curriculum Supervision."
13.05,Educational/Instructional Media Design.
13.0501,Educational/Instructional Technology.
13.0408,Elementary and Middle School Administration/Principalship.
13.1202,Elementary Education and Teaching.
13.1305,English/Language Arts Teacher Education.
13.1338,Environmental Education.
13.1308,Family and Consumer Sciences/Home Economics Teacher Education.
13.1306,Foreign Language Teacher  Education.
13.1325,French Language Teacher Education.
13.1332,Geography Teacher Education.
13.1326,German Language Teacher Education.
13.1327,Health Occupations Teacher Education.
13.1307,Health Teacher Education.
13.0406,Higher Education/Higher Education Administration.
13.1328,History Teacher Education.
13.0203,Indian/Native American Education.
13.0608,Institutional Research.
13.07,International and Comparative Education.
13.0701,International and Comparative Education.
13.0412,International School Administration/Leadership.
13.1212,International Teaching and Learning.
13.1203,Junior High/Intermediate/Middle School Education and Teaching.
13.1209,Kindergarten/Preschool Education and Teaching.
13.1333,Latin Teacher Education.
13.0607,Learning Sciences.
13.1311,Mathematics Teacher Education.
13.1207,Montessori Teacher Education.
13.0202,Multicultural Education.
13.1312,Music Teacher Education.
13.1211,Online Educator/Online Teaching.
13.1314,Physical Education Teaching and Coaching.
13.1329,Physics Teacher Education.
13.1335,Psychology Teacher Education.
13.1315,Reading Teacher Education.
13.1310,Sales and Marketing Operations/Marketing and Distribution   Teacher Education.
13.1334,School Librarian/School Library Media Specialist.
13.1316,Science Teacher Education/General Science Teacher Education.
13.1213,"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods."
13.1205,Secondary Education and Teaching.
13.0409,Secondary School Administration/Principalship.
13.09,Social and Philosophical Foundations of Education.
13.0901,Social and Philosophical Foundations of Education.
13.1317,Social Science Teacher Education.
13.1318,Social Studies Teacher Education.
13.1330,Spanish Language Teacher Education.
13.1001,"Special Education and Teaching, General."
13.1099,"Special Education and Teaching, Other."
13.10,Special Education and Teaching.
13.1331,Speech Teacher Education.
13.1199,"Student Counseling and Personnel Services, Other."
13.11,Student Counseling and Personnel Services.
13.0411,Superintendency and Educational System Administration.
13.1501,Teacher Assistant/Aide.
13.1299,"Teacher Education and Professional Development, Specific Levels and Methods, Other."
13.12,"Teacher Education and Professional Development, Specific Levels and Methods."
13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other."
13.13,"Teacher Education and Professional Development, Specific Subject Areas."
13.1206,"Teacher Education, Multiple Levels."
13.1599,"Teaching Assistants/Aides, Other."
13.15,Teaching Assistants/Aides.
13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor.
13.1499,"Teaching English or French as a Second or Foreign Language, Other."
13.14,Teaching English or French as a Second or Foreign Language.
13.1402,Teaching French as a Second or Foreign Language.
13.1319,Technical Teacher Education.
13.1309,Technology Teacher Education/Industrial Arts Teacher Education.
13.1320,Trade and Industrial Teacher Education.
13.0410,Urban Education and Leadership.
13.1208,Waldorf/Steiner Teacher Education.